current_belt;gender;training_years;white_blue;blue_purple;purple_brown;brown_black;training_per_week;both_gi_nogi;gi_or_no_gi;training_time;travel;how_old_when_started;mobility_exercises;yoga;preferred_style;have_fav_athlete;leg_lock_friendly;gym_self_defense;membership;gym_curriculum;time_watching_bjj;do_watch_sport_bjj;num_gis;num_rashguards;num_shorts;bjj_apparel;money_for_gear;education;income;age;age_cat;race;nationality;country;instrutor_encourages_competition;competed;medals
white belt;Male; 2-4 years;no answer;no answer;no answer;no answer;3-4 times;Yes;No-gi;Evening;No;'16-20';Yes;No;Open Guard;Yes;Only at certain belt levels;Self-defense is not a focus at my academy;$ 51-100;No;1 hour -2 hours;Yes;'1-2';'1-2';'1-2';Yes;$101-200;Master's Degree;$ 26K-50K;27;25-30;White/Caucasian;U.S.A.;USA;Yes;Yes;Gold
white belt;Male; 2-4 years;no answer;no answer;no answer;no answer;1-2 times;Yes;Gi;Evening;Yes;'21-25';No;No;Closed guard;No;Yes;Self-defense is one of several focuses;$101-200;No;1 hour -2 hours;Yes;'3-4';'3-4';'1-2';Yes;$ 51-100;Ph.D.;$ 26K-50K;29;25-30;White/Caucasian;USA ;USA;Yes;Yes;Silver
white belt;Female; 2-4 years;no answer;no answer;no answer;no answer;1-2 times;No;Gi;Evening;Yes;'11-15';Yes;No;Closed guard;Yes;Only at certain belt levels;Self-defense is the primary focus;$ 0-50;No;1 hour -2 hours;No;'1-2';'1-2';'5-6';No;$ 51-100;High School/GED;$ 26K-50K;18;15-20;Asian/Pacific Islander;USA ;USA;Yes;No;I have not medalled
purple belt;Male; 6-8 years; 0-2 years; 2-4 years;no answer;no answer;1-2 times;No;Gi;Lunch;Yes;'31-35';Yes;No;Open Guard;Yes;Yes;Self-defense is the primary focus;$101-200;No;0-1 hour;Yes;'5-6';'3-4';'3-4';Yes;$401-500;High School/GED;$100K+;38;35-40;White/Caucasian;USA;USA;Yes;Yes;Gold
white belt;Female; 0-2 years;no answer;no answer;no answer;no answer;1-2 times;No;Gi;Evening;No;'31-35';Yes;No;Closed guard;Yes;Only at certain belt levels;Self-defense is not a focus at my academy;$ 0-50;No;0-1 hour;No;'3-4';'1-2';'1-2';No;$ 51-100;Bachelor's Degree;$ 0-25K;34;30-35;White/Caucasian;Dutch;Netherlands;Yes;No;I have not medalled
purple belt;Male; 8-10 years; 4-6 years; 2-4 years;no answer;no answer;1-2 times;Yes;Gi;Evening;No;'11-15';Yes;Yes;Pressure Passing;Yes;Only at certain belt levels;Self-defense is not a focus at my academy;$ 0-50;No;0-1 hour;Yes;'3-4';'3-4';'1-2';Yes;$201-300;Master's Degree;$ 51k-75K;25;25-30;White/Caucasian;American ;USA;Yes;Yes;Gold
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;3-4 times;No;Gi;Evening;Yes;'40+';Yes;Yes;Pressure Passing;No;Yes;Self-defense is not a focus at my academy;$201-300;No;2 hours - 3 hours;Yes;'3-4';no answer;no answer;Yes;$101-200;Bachelor's Degree;$ 76K-100K;42;40-45;White/Caucasian;American;USA;Yes;No;no answer
purple belt;Male; 4-6 years; 0-2 years; 2-4 years;no answer;no answer;5-6 times;Yes;Gi;Lunch;Yes;'26-30';Yes;No;Pressure Passing;Yes;Yes;Self-defense is one of several focuses;$101-200;Yes;0-1 hour;Yes;'5-6';'3-4';'1-2';Yes;$301-400;Bachelor's Degree;$ 26K-50K;34;30-35;White/Caucasian;Italian ;Italy;Yes;Yes;Bronze
brown belt;Male;12+ years; 2-4 years; 2-4 years; 2-4 years;no answer;1-2 times;Yes;No-gi;Morning;Yes;'21-25';Yes;No;Closed guard;No;Only at certain belt levels;Self-defense is one of several focuses;$101-200;No;0-1 hour;No;'5-6';'3-4';'5-6';No;$ 51-100;High School/GED;$ 76K-100K;36;35-40;White/Caucasian;American;USA;No;Yes;Gold
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;3-4 times;No;Gi;Lunch;No;'21-25';Yes;Yes;Closed guard;Yes;Only at certain belt levels;Self-defense is one of several focuses;$101-200;No;0-1 hour;No;'1-2';no answer;no answer;No;$101-200;Bachelor's Degree;$ 26K-50K;26;25-30;Hispanic/Latino;usa;USA;Yes;No;no answer
purple belt;Male; 8-10 years; 2-4 years; 4-6 years;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'21-25';Yes;Yes;Open Guard;No;Only at certain belt levels;Self-defense is one of several focuses;$101-200;Yes;0-1 hour;No;'7+';'7+';'3-4';no answer;$401-500;High School/GED;$ 26K-50K;32;30-35;White/Caucasian;Usa;USA;Yes;Yes;Bronze
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;1-2 times;No;No-gi;Evening;No;'36-40';No;No;Pressure Passing;Yes;Only at certain belt levels;Self-defense is one of several focuses;$201-300;No;1 hour -2 hours;Yes;'3-4';'1-2';'1-2';No;$101-200;High School/GED;$100K+;39;35-40;White/Caucasian;US;USA;Yes;No;I have not medalled
white belt;Male;12+ years;no answer;no answer;no answer;no answer;1-2 times;Yes;No-gi;Evening;Yes;'16-20';Yes;Yes;Closed guard;Yes;Yes;Self-defense is not a focus at my academy;$201-300;No;1 hour -2 hours;Yes;'3-4';'7+';'3-4';Yes;$301-400;Bachelor's Degree;$ 51k-75K;33;30-35;Hispanic/Latino;US;USA;Yes;Yes;Gold
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;5-6 times;Yes;No-gi;Evening;Yes;'16-20';No;No;Pressure Passing;Yes;Yes;Self-defense is not a focus at my academy;$ 0-50;Yes;2 hours - 3 hours;Yes;'1-2';'1-2';'1-2';No;$ 0-50;Associate's Degree;$ 0-25K;20;20-25;Asian/Pacific Islander;Pakistani;Pakistan;Yes;Yes;Gold
purple belt;Male; 4-6 years; 0-2 years; 0-2 years;no answer;no answer;1-2 times;No;No-gi;Evening;No;'21-25';No;No;Pressure Passing;No;Yes;Self-defense is not a focus at my academy;$101-200;No;0-1 hour;No;'1-2';'1-2';'1-2';No;$ 0-50;Bachelor's Degree;$ 26K-50K;27;25-30;White/Caucasian;USA;USA;Yes;Yes;Gold
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;1-2 times;No;Gi;Evening;No;'21-25';No;No;Pressure Passing;Yes;Only at certain belt levels;Self-defense is one of several focuses;$ 51-100;No;0-1 hour;Yes;'1-2';'1-2';'1-2';No;$ 51-100;Associate's Degree;$ 0-25K;23;20-25;White/Caucasian;American;USA;Yes;Yes;I have not medalled
white belt;Female; 0-2 years;no answer;no answer;no answer;no answer;3-4 times;No;Gi;Lunch;Yes;'16-20';No;No;Open Guard;Yes;Only at certain belt levels;Self-defense is one of several focuses;$101-200;No;0-1 hour;No;'1-2';'1-2';'1-2';No;$ 0-50;High School/GED;$ 0-25K;20;20-25;Black/African American;Portugal;Portugal;Yes;Yes;I have not medalled
purple belt;Male; 4-6 years; 0-2 years; 2-4 years;no answer;no answer;3-4 times;Yes;Gi;Evening;No;'36-40';No;No;Open Guard;Yes;Yes;Self-defense is not a focus at my academy;$101-200;Yes;0-1 hour;Yes;'1-2';'1-2';'1-2';Yes;$101-200;Associate's Degree;$100K+;44;40-45;White/Caucasian;us;USA;Yes;Yes;I have not medalled
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;3-4 times;Yes;No-gi;Lunch;Yes;'21-25';No;No;Pressure Passing;Yes;Yes;Self-defense is one of several focuses;$101-200;No;3+ hours;Yes;'3-4';'7+';'1-2';No;$101-200;Bachelor's Degree;$ 51k-75K;23;20-25;Black/African American;Murika';USA;Yes;No;I have not medalled
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;3-4 times;No;Gi;Morning;Yes;'31-35';No;No;Closed guard;No;Yes;Self-defense is not a focus at my academy;$201-300;No;0-1 hour;No;'3-4';no answer;no answer;Yes;$401-500;High School/GED;$100K+;34;30-35;White/Caucasian;Usa;USA;Yes;Yes;Silver
purple belt;Male; 8-10 years; 2-4 years; 0-2 years;no answer;no answer;3-4 times;Yes;No-gi;Evening;Yes;'16-20';Yes;Yes;Pressure Passing;No;Yes;Self-defense is one of several focuses;$101-200;Yes;0-1 hour;Yes;'3-4';'3-4';'1-2';No;$ 51-100;Master's Degree;$100K+;30;30-35;Asian/Pacific Islander;Australia ;Australia;Yes;Yes;Gold
purple belt;Male;10-12 years; 2-4 years; 4-6 years;no answer;no answer;5-6 times;Yes;No-gi;Lunch;Yes;'16-20';No;No;Open Guard;Yes;Yes;Self-defense is one of several focuses;$ 0-50;Yes;1 hour -2 hours;Yes;'3-4';'3-4';'1-2';Yes;$301-400;Other;$ 0-25K;28;25-30;White/Caucasian;American ;USA;Yes;Yes;Gold
blue belt;Male; 4-6 years; 0-2 years;no answer;no answer;no answer;3-4 times;Yes;No-gi;Morning;Yes;'21-25';No;No;Closed guard;Yes;Yes;Self-defense is one of several focuses;$101-200;No;0-1 hour;No;'5-6';'7+';'1-2';Yes;$201-300;Bachelor's Degree;$ 51k-75K;26;25-30;Asian/Pacific Islander;American;USA;Yes;Yes;I have not medalled
blue belt;Male; 4-6 years; 4-6 years;no answer;no answer;no answer;3-4 times;Yes;No-gi;Morning;No;'11-15';No;No;Pressure Passing;Yes;Yes;Self-defense is one of several focuses;$ 51-100;No;0-1 hour;Yes;'1-2';'1-2';'1-2';No;$ 0-50;High School/GED;$ 0-25K;19;15-20;White/Caucasian;US;USA;Yes;Yes;Gold
purple belt;Male; 8-10 years; 0-2 years; 4-6 years;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'26-30';No;No;Pressure Passing;No;Only at certain belt levels;Self-defense is one of several focuses;$ 51-100;Yes;1 hour -2 hours;No;'7+';'1-2';'5-6';Yes;$301-400;Bachelor's Degree;$ 76K-100K;36;35-40;White/Caucasian;USA;USA;Yes;Yes;Gold
blue belt;Male; 0-2 years; 0-2 years;no answer;no answer;no answer;3-4 times;Yes;Gi;Lunch;No;'40+';Yes;Yes;Closed guard;No;Only at certain belt levels;Self-defense is one of several focuses;$ 51-100;Yes;0-1 hour;No;'3-4';'5-6';'1-2';No;$ 0-50;MD;$100K+;44;40-45;White/Caucasian;USA;USA;Yes;No;no answer
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;3-4 times;Yes;No-gi;Morning;Yes;'21-25';No;No;Pressure Passing;Yes;No;Self-defense is one of several focuses;$ 0-50;No;0-1 hour;No;'1-2';'1-2';'3-4';No;$101-200;Bachelor's Degree;$ 0-25K;22;20-25;Asian/Pacific Islander;Indian;India;Yes;No;I have not medalled
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;1-2 times;No;Gi;Morning;No;'31-35';No;No;Closed guard;No;Only at certain belt levels;Self-defense is one of several focuses;$101-200;No;1 hour -2 hours;Yes;'1-2';no answer;no answer;No;$ 51-100;Bachelor's Degree;$100K+;35;35-40;White/Caucasian;USA;USA;No;No;I have not medalled
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;No;'21-25';No;No;Closed guard;Yes;Yes;Self-defense is one of several focuses;$ 0-50;No;0-1 hour;Yes;'1-2';'3-4';'1-2';No;$ 51-100;Master's Degree;$ 0-25K;23;20-25;White/Caucasian;English;UK;Yes;No;I have not medalled
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;3-4 times;No;Gi;Evening;Yes;'36-40';Yes;No;Closed guard;No;Yes;Self-defense is one of several focuses;$101-200;No;0-1 hour;Yes;'1-2';'1-2';'1-2';Yes;$ 51-100;Master's Degree;$100K+;38;35-40;Hispanic/Latino;USA;USA;Yes;No;I have not medalled
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;No;'16-20';Yes;No;Closed guard;No;Only at certain belt levels;Self-defense is the primary focus;$ 51-100;Yes;0-1 hour;No;'1-2';'1-2';'1-2';No;$101-200;High School/GED;$ 0-25K;25;25-30;White/Caucasian;us;USA;Yes;No;no answer
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;3-4 times;No;No-gi;Evening;Yes;'26-30';No;No;Closed guard;Yes;Only at certain belt levels;Self-defense is one of several focuses;$ 51-100;Yes;1 hour -2 hours;Yes;'1-2';'3-4';'3-4';No;$ 0-50;Associate's Degree;$ 26K-50K;29;25-30;White/Caucasian;Texan;USA;Yes;No;I have not medalled
purple belt;Female; 4-6 years; 2-4 years; 2-4 years;no answer;no answer;1-2 times;Yes;Gi;Evening;Yes;'21-25';No;No;Pressure Passing;Yes;Yes;Self-defense is not a focus at my academy;$ 0-50;No;0-1 hour;Yes;'3-4';'5-6';'1-2';No;$ 51-100;MD;$ 26K-50K;27;25-30;White/Caucasian;usa;USA;Yes;Yes;Gold
blue belt;Male; 0-2 years; 0-2 years;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;No;'21-25';No;No;Open Guard;Yes;No;Self-defense is not a focus at my academy;$101-200;Yes;0-1 hour;Yes;'1-2';'1-2';'1-2';No;$ 51-100;High School/GED;$100K+;26;25-30;White/Caucasian;Swedish;Sweden;Yes;Yes;Gold
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;1-2 times;No;Gi;Evening;No;'31-35';No;No;Open Guard;No;Yes;Self-defense is not a focus at my academy;no answer;Yes;no answer;Yes;'1-2';no answer;no answer;no answer;no answer;Bachelor's Degree;$ 0-25K;35;35-40;Hispanic/Latino;brazilian;Brazil;Yes;Yes;Bronze
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;1-2 times;No;Gi;Evening;No;'21-25';No;No;Closed guard;Yes;Yes;Self-defense is one of several focuses;$101-200;No;2 hours - 3 hours;Yes;'1-2';no answer;no answer;No;$101-200;Bachelor's Degree;$ 76K-100K;24;20-25;White/Caucasian;USA;USA;Yes;No;I have not medalled
blue belt;Male; 0-2 years; 0-2 years;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'26-30';No;No;Open Guard;Yes;Only at certain belt levels;Self-defense is not a focus at my academy;$ 51-100;No;1 hour -2 hours;No;'3-4';'3-4';'1-2';No;$ 0-50;Master's Degree;$ 51k-75K;32;30-35;White/Caucasian;Israeli;Israel;No;No;I have not medalled
blue belt;Male; 0-2 years; 0-2 years;no answer;no answer;no answer;5-6 times;Yes;Gi;Morning;Yes;'40+';No;No;Pressure Passing;No;Only at certain belt levels;Self-defense is the primary focus;$101-200;Yes;0-1 hour;No;'3-4';'5-6';'1-2';No;$101-200;Other;$ 76K-100K;62;50+;White/Caucasian;no answer;no answer;Yes;No;I have not medalled
blue belt;Male; 4-6 years; 2-4 years;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'36-40';Yes;Yes;Pressure Passing;Yes;Yes;Self-defense is one of several focuses;$101-200;Yes;1 hour -2 hours;Yes;'3-4';'3-4';'1-2';No;$201-300;Bachelor's Degree;$ 76K-100K;43;40-45;White/Caucasian;Canadian;Canada;Yes;Yes;Silver
blue belt;Male; 0-2 years; 0-2 years;no answer;no answer;no answer;3-4 times;Yes;No-gi;Evening;No;'26-30';Yes;No;Open Guard;No;Only at certain belt levels;Self-defense is one of several focuses;$101-200;No;1 hour -2 hours;No;'1-2';'3-4';'1-2';No;$ 51-100;Bachelor's Degree;$ 51k-75K;29;25-30;White/Caucasian;USA;USA;Yes;Yes;Silver
black belt;Male;12+ years; 0-2 years; 2-4 years; 2-4 years; 2-4 years;3-4 times;Yes;Gi;Lunch;Yes;'31-35';Yes;Yes;Open Guard;Yes;Only at certain belt levels;Self-defense is one of several focuses;$ 0-50;Yes;1 hour -2 hours;Yes;'7+';'3-4';'3-4';Yes;$401-500;Master's Degree;$ 76K-100K;47;45-50;White/Caucasian;US;USA;Yes;Yes;I have not medalled
purple belt;Male; 4-6 years; 2-4 years; 0-2 years;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'26-30';Yes;No;Closed guard;No;Only at certain belt levels;Self-defense is one of several focuses;$ 0-50;Yes;1 hour -2 hours;Yes;'3-4';'3-4';'3-4';Yes;$301-400;High School/GED;$100K+;34;30-35;White/Caucasian;Unknown ;no answer;Yes;Yes;Silver
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;5-6 times;Yes;No-gi;Evening;Yes;'16-20';Yes;Yes;Pressure Passing;Yes;Yes;Self-defense is not a focus at my academy;$ 0-50;Yes;1 hour -2 hours;Yes;'1-2';'1-2';'1-2';Yes;$201-300;High School/GED;$ 0-25K;18;15-20;White/Caucasian;Austrian;Austria;Yes;Yes;Silver
white belt;Male;12+ years;no answer;no answer;no answer;no answer;1-2 times;Yes;Gi;Lunch;No;'21-25';No;No;Open Guard;Yes;Only at certain belt levels;Self-defense is one of several focuses;$ 51-100;No;None at all;Yes;'3-4';'1-2';'1-2';Yes;$ 51-100;Bachelor's Degree;$ 26K-50K;48;45-50;Hispanic/Latino;Nicaragua;Nicaragua;Yes;No;I have not medalled
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;3-4 times;Yes;No-gi;Morning;Yes;'21-25';no answer;no answer;no answer;no answer;Yes;Self-defense is not a focus at my academy;no answer;no answer;no answer;no answer;'1-2';'3-4';'1-2';no answer;no answer;MD;no answer;21;20-25;White/Caucasian;no answer;no answer;Yes;No;no answer
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;3-4 times;Yes;No-gi;Evening;Yes;'16-20';No;No;Closed guard;Yes;Yes;Self-defense is not a focus at my academy;$ 0-50;No;0-1 hour;Yes;'1-2';'3-4';'3-4';No;$ 51-100;High School/GED;$ 0-25K;20;20-25;White/Caucasian;Austria;Austria;Yes;Yes;Bronze
purple belt;Male; 6-8 years; 2-4 years; 2-4 years;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'31-35';Yes;Yes;Pressure Passing;Yes;Yes;Self-defense is one of several focuses;$201-300;Yes;2 hours - 3 hours;Yes;'7+';'7+';'7+';Yes;$501-600;Master's Degree;$ 76K-100K;38;35-40;Black/African American;Stolen African;no answer;Yes;Yes;Silver
purple belt;Male; 6-8 years; 2-4 years; 2-4 years;no answer;no answer;3-4 times;Yes;No-gi;Evening;Yes;'26-30';Yes;Yes;Pressure Passing;No;Yes;Self-defense is one of several focuses;$ 0-50;Yes;1 hour -2 hours;Yes;'3-4';'7+';'7+';No;$201-300;Master's Degree;$ 51k-75K;33;30-35;White/Caucasian;USA;USA;Yes;Yes;Gold
black belt;Male;12+ years; 0-2 years; 6-8 years; 4-6 years; 4-6 years;3-4 times;Yes;no answer;Evening;Yes;'36-40';No;No;Pressure Passing;No;Only at certain belt levels;Self-defense is one of several focuses;$ 0-50;Yes;1 hour -2 hours;Yes;'7+';'1-2';'1-2';Yes;$201-300;Other;$ 51k-75K;54;50+;White/Caucasian;French canadian, irish, lithuanian, native american;Canada;No;Yes;I have not medalled
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'21-25';No;No;Pressure Passing;Yes;Yes;Self-defense is not a focus at my academy;$ 0-50;No;1 hour -2 hours;Yes;'3-4';'3-4';'1-2';Yes;$101-200;Master's Degree;$ 26K-50K;25;25-30;White/Caucasian;Austria;Austria;Yes;Yes;Silver
purple belt;Male; 6-8 years; 2-4 years; 2-4 years;no answer;no answer;3-4 times;Yes;No-gi;Lunch;No;'40+';Yes;Yes;Leg locking;Yes;Yes;Self-defense is one of several focuses;$101-200;Yes;0-1 hour;Yes;'3-4';'3-4';'3-4';No;$101-200;Master's Degree;$ 76K-100K;48;45-50;White/Caucasian;Russian;Russia;Yes;No;no answer
blue belt;Male; 2-4 years; 0-2 years;no answer;no answer;no answer;1-2 times;No;Gi;Evening;No;'36-40';No;No;Closed guard;No;Only at certain belt levels;Self-defense is not a focus at my academy;$101-200;Yes;0-1 hour;Yes;'3-4';'3-4';'1-2';Yes;$ 51-100;Bachelor's Degree;$ 76K-100K;43;40-45;White/Caucasian;Canadian;Canada;Yes;Yes;I have not medalled
white belt;Female; 0-2 years;no answer;no answer;no answer;no answer;3-4 times;Yes;No-gi;Evening;No;'21-25';Yes;No;Pressure Passing;No;Yes;Self-defense is one of several focuses;$201-300;Yes;0-1 hour;No;'1-2';'1-2';'1-2';No;$201-300;Bachelor's Degree;$ 26K-50K;24;20-25;White/Caucasian;United States;USA;Yes;No;I have not medalled
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;1-2 times;Yes;Gi;Lunch;Yes;'40+';No;No;Open Guard;No;Only at certain belt levels;Self-defense is one of several focuses;$101-200;Yes;0-1 hour;No;'3-4';'1-2';'1-2';No;$101-200;Ph.D.;$100K+;49;45-50;White/Caucasian;US;USA;Yes;Yes;I have not medalled
brown belt;Male; 8-10 years; 0-2 years; 0-2 years; 4-6 years;no answer;5-6 times;Yes;Gi;Morning;Yes;'21-25';No;No;Pressure Passing;Yes;Yes;Self-defense is one of several focuses;$101-200;Yes;1 hour -2 hours;No;'7+';'7+';'3-4';Yes;$301-400;High School/GED;$ 51k-75K;40;40-45;White/Caucasian;American;USA;No;Yes;Gold
white belt;Male;12+ years; 0-2 years;no answer;no answer;no answer;5-6 times;No;Gi;Evening;Yes;'21-25';Yes;No;Pressure Passing;Yes;Yes;Self-defense is one of several focuses;$ 51-100;Yes;2 hours - 3 hours;Yes;'7+';no answer;no answer;No;$101-200;Bachelor's Degree;$100K+;52;50+;White/Caucasian;no answer;no answer;Yes;No;I have not medalled
blue belt;Female; 0-2 years; 0-2 years;no answer;no answer;no answer;3-4 times;No;Gi;Evening;Yes;'36-40';No;No;no answer;Yes;Yes;Self-defense is one of several focuses;$ 51-100;No;1 hour -2 hours;No;'3-4';'1-2';no answer;No;$101-200;Associate's Degree;$ 26K-50K;39;35-40;White/Caucasian;no answer;no answer;Yes;Yes;Silver
purple belt;Male; 6-8 years; 2-4 years; 2-4 years;no answer;no answer;3-4 times;No;Gi;Evening;Yes;'21-25';No;No;Pressure Passing;Yes;Only at certain belt levels;Self-defense is one of several focuses;$101-200;No;1 hour -2 hours;No;'7+';'3-4';'1-2';Yes;$600+;JD;$100K+;30;30-35;Asian/Pacific Islander;no answer;no answer;Yes;Yes;Silver
blue belt;Male; 2-4 years; 0-2 years;no answer;no answer;no answer;5-6 times;Yes;Gi;Evening;Yes;'26-30';Yes;No;Open Guard;Yes;Yes;Self-defense is not a focus at my academy;$ 51-100;No;1 hour -2 hours;Yes;'5-6';'5-6';'1-2';No;$201-300;Associate's Degree;$ 51k-75K;33;30-35;White/Caucasian;British ;UK;Yes;Yes;Gold
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;1-2 times;Yes;Gi;Morning;No;'26-30';No;No;Closed guard;No;Only at certain belt levels;Self-defense is one of several focuses;$101-200;Yes;0-1 hour;No;'1-2';'1-2';'1-2';No;$ 0-50;Bachelor's Degree;$ 0-25K;27;25-30;White/Caucasian;USA;USA;Yes;No;I have not medalled
black belt;Male; 0-2 years; 2-4 years; 0-2 years; 0-2 years; 0-2 years;1-2 times;Yes;No-gi;Evening;Yes;'0-10';Yes;Yes;Pressure Passing;Yes;Yes;Self-defense is one of several focuses;$201-300;Yes;2 hours - 3 hours;Yes;'7+';'1-2';'1-2';Yes;$600+;Ph.D.;$100K+;18;15-20;White/Caucasian;Chinese;China;No;No;I have not medalled
black belt;Male;12+ years; 0-2 years; 4-6 years; 2-4 years; 2-4 years;5-6 times;Yes;Gi;Morning;Yes;'26-30';No;No;Pressure Passing;Yes;Yes;Self-defense is one of several focuses;$ 0-50;No;0-1 hour;Yes;'7+';'5-6';'5-6';No;$201-300;Bachelor's Degree;$ 26K-50K;40;40-45;White/Caucasian;USA;USA;Yes;Yes;Gold
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;3-4 times;Yes;Gi;Lunch;No;'26-30';Yes;No;Closed guard;No;Only at certain belt levels;Self-defense is the primary focus;$101-200;Yes;0-1 hour;Yes;'3-4';'1-2';'1-2';No;$401-500;Bachelor's Degree;$ 51k-75K;27;25-30;Black/African American;American;USA;Yes;Yes;I have not medalled
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;3-4 times;No;Gi;Evening;Yes;'26-30';No;No;Closed guard;Yes;Yes;Self-defense is one of several focuses;$101-200;Yes;1 hour -2 hours;Yes;'1-2';'3-4';no answer;Yes;$401-500;Associate's Degree;$ 26K-50K;27;25-30;White/Caucasian;Polish;Poland;no answer;no answer;I have not medalled
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;1-2 times;Yes;Gi;Evening;No;'26-30';No;Yes;Pressure Passing;No;Yes;Self-defense is one of several focuses;$ 51-100;Yes;0-1 hour;No;'1-2';'3-4';'1-2';No;$101-200;Associate's Degree;$ 51k-75K;31;30-35;White/Caucasian;USA;USA;Yes;Yes;I have not medalled
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;1-2 times;No;No-gi;Lunch;No;'36-40';No;No;Open Guard;No;Only at certain belt levels;Self-defense is one of several focuses;$ 0-50;No;0-1 hour;Yes;no answer;'1-2';no answer;No;$ 0-50;High School/GED;$100K+;36;35-40;White/Caucasian;USA;USA;No;No;I have not medalled
black belt;Male;12+ years; 4-6 years; 2-4 years; 2-4 years; 2-4 years;7+ times;Yes;Gi;Evening;Yes;'21-25';No;No;no answer;No;Yes;Self-defense is one of several focuses;$ 0-50;Yes;0-1 hour;Yes;'5-6';'3-4';'3-4';No;$ 0-50;Bachelor's Degree;$ 51k-75K;40;40-45;White/Caucasian;USA ;USA;Yes;Yes;Gold
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'21-25';Yes;No;Closed guard;No;Yes;Self-defense is not a focus at my academy;$ 51-100;No;1 hour -2 hours;Yes;'3-4';'5-6';'3-4';Yes;$201-300;Other;$ 76K-100K;26;25-30;White/Caucasian;Norwegian;Norway;Yes;Yes;Silver
black belt;Male;12+ years;no answer;no answer;no answer;no answer;3-4 times;No;Gi;Evening;Yes;'11-15';Yes;No;Leg locking;No;No;Self-defense is one of several focuses;$ 51-100;Yes;1 hour -2 hours;No;'3-4';no answer;no answer;No;$ 0-50;Master's Degree;$ 26K-50K;37;35-40;White/Caucasian;'merica.;USA;No;No;no answer
blue belt;Male; 0-2 years; 0-2 years;no answer;no answer;no answer;3-4 times;Yes;No-gi;Evening;Yes;'16-20';No;No;Leg locking;Yes;Yes;Self-defense is one of several focuses;$101-200;Yes;1 hour -2 hours;Yes;'3-4';'3-4';'1-2';No;$201-300;High School/GED;$ 0-25K;19;15-20;Hispanic/Latino;American;USA;Yes;Yes;I have not medalled
purple belt;Male;12+ years; 0-2 years; 6-8 years;no answer;no answer;1-2 times;Yes;Gi;Morning;No;'26-30';No;No;Open Guard;Yes;Only at certain belt levels;Self-defense is one of several focuses;$101-200;No;0-1 hour;Yes;'5-6';'5-6';'1-2';Yes;$ 51-100;Ph.D.;$100K+;47;45-50;White/Caucasian;USA;USA;Yes;Yes;I have not medalled
blue belt;Male; 4-6 years; 0-2 years;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'16-20';Yes;No;Pressure Passing;Yes;Yes;Self-defense is not a focus at my academy;$ 0-50;No;1 hour -2 hours;Yes;'3-4';'5-6';'5-6';No;$501-600;Bachelor's Degree;$ 0-25K;23;20-25;White/Caucasian;British;UK;Yes;Yes;Gold
blue belt;Male; 2-4 years; 0-2 years;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'31-35';No;No;Pressure Passing;no answer;Yes;Self-defense is one of several focuses;$ 0-50;Yes;1 hour -2 hours;Yes;'5-6';'3-4';'1-2';No;$201-300;Associate's Degree;$ 26K-50K;34;30-35;White/Caucasian;united states;USA;No;Yes;Silver
